Image Filename,Description1,Description2,Label
crop001603.jpg,"The image shows a group of people walking beside a large stone building, likely involved in an outdoor event or tour, with some individuals wearing colorful jackets.","The person on the far left in the image appears to be an older adult wearing a green jacket and carrying a dark handbag, walking on the street among other pedestrians.",1
1022.jpg,"The image displays two figures, possibly in a foggy or misty environment, making the details of their surroundings and features somewhat indistinct. The person in the foreground is wearing a blue shirt and jeans, while the one behind appears in a red and black outfit.","The image shows two individuals walking, one taller person dressed in blue shorts and a graphic t-shirt, and a shorter person in black pants and a red fanny pack. The photo is blurry, making details hard to see.",1
crop001257.jpg,"Two women are outdoors playing on a grassy field, with one dressed in red looking towards the left and the other in the background in a blue shirt smiling and posing with her hands on her hips.","The person in the image is wearing a light blue t-shirt and beige pants, standing on grass with a playful expression, possibly enjoying a casual outdoor activity.",1
crop001149.jpg,"The image depicts a busy street scene with multiple individuals crossing the street or walking by, including a woman in the foreground wearing a light coat and black sandals.","The image shows two individuals, one is a woman wearing a beige coat and black pants, crossing the street, and the other is a man in a gray coat and blue jeans walking alongside her.",1
691.jpg,"The image shows two individuals riding bicycles down a misty street. The person in the foreground is wearing a thick coat and a face mask, while the other person, slightly blurred in the background, is also bundled up against the cold.","The image shows two people riding bicycles on a foggy, tree-lined street; the person in the foreground, wearing a coat and a face mask, rides a bike equipped with a basket.",1
856.jpg,"Three people wearing Santa hats and protective face masks are walking towards the camera in a hazy environment, dressed in winter clothing.","The image shows three individuals walking towards the camera, all wearing masks and festive Santa hats; the background is slightly misty, creating a wintry atmosphere. Two additional people can be seen walking in the opposite direction and two more are slightly off in the background, all dressed warmly for cold weather.",1
26.jpg,"The image shows two individuals in a foggy outdoor setting; one person is walking while wearing dark clothing and a face mask, and the other, dressed in blue, is sweeping the ground with a broom.","The image shows two individuals on a foggy path: one person is dressed in a blue uniform and holding a broom, likely engaged in cleaning the area, while the other person is wearing a black coat and walking by.",1
953.jpg,"The image shows two people, one holding a red object, standing in a snowy environment, displayed in a monochrome, inverted color palette.","The image shows two figures in a snowy setting; one appears to be holding a red object while both are dressed in winter clothing, facing towards the camera.",1
crop001626.jpg,"The image shows two individuals walking on a street; one in the foreground is dressed in dark clothing and jeans, while the other is further back, wearing light attire against a backdrop of cars and a stone building.","The person in the foreground is a woman wearing a black top and blue jeans, walking on a sidewalk. Behind her, there is a man in a white shirt and dark pants, also walking on the sidewalk, carrying a bag on his shoulder.",1
479.jpg,"The image shows three individuals walking across a crosswalk enveloped in fog. From left to right, the first person is dressed in a blue jacket, the second in a beige jacket, and the third in a teal jacket, all moving at a leisurely pace.","The image shows three people walking across a crosswalk in dense fog, with the visibility significantly reduced around them.",1
person_and_bike_137.jpg,"An elderly couple is walking hand in hand down a busy street, with the man in a gray suit and the woman in a dark coat and hat. To the left, another woman in a black coat walks by, while in the background various individuals are strolling or conversing near colorful buildings.","The image captures an elderly couple walking hand-in-hand down a bustling urban street lined with colorful buildings and pedestrians. A parked bicycle and various storefronts enhance the lively, everyday atmosphere of this European-style setting.",1
1137.jpg,"The image shows a close-up of a woman looking at the camera with a slight frown, wearing a dark coat over a lighter shirt, with out-of-focus figures and a misty background suggesting a busy, possibly chilly outdoor setting.","In this image, there are five individuals: one woman in the foreground with long hair and a dark coat, and in the background, there are four more people bundled in winter clothing, with one distinctly wearing a red jacket and another holding a camera.",1
crop001838.jpg,"The image shows a group of women in wetsuits standing on grass and holding colorful surfboards upright, apparently ready for a surfing session.","The three people on the left in the image are wearing wetsuits and holding upright surfboards on a grassy area near the beach. They are smiling broadly, suggesting they are enjoying their surf outing or are posing for a group photo.",1
425.jpg,"The person appears to be standing in thick fog, with arms outstretched, wearing a jacket, jeans, and possibly a cap.","The image shows a person standing with arms outstretched in a foggy environment, making them appear slightly obscured and ethereal. Their posture and the setting create a serene, almost mystical atmosphere.",1
person_387.jpg,"The image features two adults, a man and a woman, looking at items in a shop window on a street lined with various storefronts and signs. They are dressed in casual, cool-weather clothing, and the setting appears to be a quiet urban street.","The two individuals in the image are a man and a woman, both examining items in a shop window. The man is dressed in a gray jacket and dark trousers, while the woman beside him is wearing a brown coat and carrying a white shopping bag.",1
704.jpg,"The image shows a traffic officer wearing a reflective vest, directing vehicles in a foggy environment. The visibility is low due to the thick fog, affecting both the background and the surroundings.","The person in the image is a traffic officer wearing a reflective safety vest, managing traffic. The environment appears foggy, which might be affecting visibility.",1
person_244.jpg,"An elderly woman with a cane stands smiling beside a building, facing two other individuals from behind who seem to be in conversation with her, on a city sidewalk next to a park named ‘Peter Turner Park’.","In the image, an elderly woman with white hair, dressed in a light coat and using a walking stick, stands smiling. Facing her are two other individuals, a man and a woman, who are seen from the back, engaged in conversation with her.",1
crop001702.jpg,"The image shows a group of people at a car show, standing near a Lancia exhibit where several cars, including a silver one in the foreground, are displayed.","One of the people is wearing a long black coat and appears to be speaking on a cellphone, while the other, further in the background to the right, is dressed in a casual jacket and jeans, observing a car at an auto show.",1
152.jpg,"The image features an individual walking toward the camera in a misty or foggy environment, dressed in a dark trench coat and a medical mask. The overall tone of the image is cold and somber.","The person in the image is walking towards the camera in a misty setting, wearing a dark coat, dark pants, and a face mask.",1
crop001528.jpg,"The image shows a woman walking on a city street, appearing slightly blurred, with vehicles and shop signs in the background.","The person in the image is a woman dressed in a black coat, matching trousers, and black boots, walking alone in a city setting with a street and shops in the background. She appears to be crossing the street while hugging her folded arms.",1
crop001696.jpg,"The image shows a busy car show event with several people, including couples and groups, gathered around various car exhibits, discussing and examining the vehicles on display.","The three people in the image are interacting at a car show; two are engaged in conversation near a red car, while one person in black looks on. They appear to be examining or discussing the vehicles on display, contributing to the bustling atmosphere of the event.",1
crop001635.jpg,"The image captures a bustling outdoor fair scene at night with bright lights and a variety of stalls, where a woman and a young child are walking hand in hand among other attendees.","In the image, a woman wearing a black coat is holding the hand of a young boy in a red jacket, who is carrying a plush toy. Around them, a small crowd of people is visible, including a man with a child who are mostly absorbed in the vibrant fairground setting.",1
217.jpg,"The image shows a woman wearing a bright pink jacket and a face mask, riding a bicycle on a city street. In the background, other masked pedestrians are visible, suggesting a busy urban environment possibly under air quality or health precautions.","In the image, there are three people: a woman on a bicycle wearing a pink jacket and a mask, and two pedestrians behind her, both walking and wearing masks, with one dressed in a dark suit and the other in dark casual clothing.",1
290.jpg,"The image shows two people, a man and a woman, walking through what appears to be a misty or smog-filled environment. The woman is wearing a long, light-colored coat and carrying a yellow bag, while both of them seem to be bundled up against the cold.","There are two people visible in the image, not three. They are walking through a foggy area, where the woman is wearing a long white coat and the man is in dark clothing, and both appear to be adults.",1
628.jpg,The image is too blurred and obscure to accurately describe the people depicted in it.,"The image is extremely blurry and lacks clear details, but it appears to contain indistinct shapes or forms that might be part of a room or an abstract scene. The colors are mostly grayscale, contributing to the image's obscure and undefined nature.",1
826.jpg,"The image shows two people walking outdoors, one wearing a blue jacket and a face mask, carrying a bag, and the other a child in a pink jacket and beige pants. There is a foggy or smoggy background with a large red sign partially visible.","The image only displays two individuals, not six; a woman on the left wearing a face mask and holding a bag, and a younger girl on the right dressed in a pink hooded jacket and pants, both walking on what looks like a city street.",1
950.jpg,"The image shows two people who are upside down, likely due to the camera's orientation or a reflection. They are dressed in casual, modern clothing, possibly with dark jeans and winter jackets.","The image shows two people who appear to be upside-down, but this effect might be a result of the picture being taken through a reflective surface or being inverted. The background includes a blurred, inverted view of a building and some trees.",1
crop001264.jpg,"The two individuals in the image are casually dressed males, participating in an outdoor activity on a grassy field. One wears a white t-shirt with a graphic design and dark pants, while the other is in a light-colored shirt and beige cargo pants, clapping his hands.","The image depicts a group of young people engaging in outdoor activities on a grassy area, with one individual walking while eating and another looking down mid-step.",1
crop001027.jpg,"This image shows a person in a red jacket and trousers, wearing sunglasses and a hood, standing and spreading their arms wide in front of a slightly foggy background. Two other individuals are sitting behind on rocky terrain, with one of them holding a water bottle.","The person is standing outdoors, wearing a red jacket and dark sunglasses, with their arms extended to the sides, possibly balancing themselves or enjoying the breeze on a cloudy day.",1
747.jpg,"The image depicts three individuals: a woman in the foreground dressed in a grey poncho and black pants, and behind her, a man in a black jacket and jeans talking on his phone, along with another woman in a red jacket and black skirt.","This image captures three people walking on a sidewalk, likely on a cool, foggy day given their attire. The individuals vary in their style of dress, with one person wearing a brightly colored jacket and the others in more subdued colors.",1
299.jpg,"The image is blurry, but it appears to show five individuals in an outdoor setting, possibly walking or standing together. They seem to be dressed in casual, warm attire, suitable for a cool weather.","The image shows a person sitting on a sidewalk, holding a sign, with a dog beside them. The surroundings appear to be an urban environment with visible pavement and blurred pedestrian activity behind them.",1
81.jpg,"The image shows two people walking side by side, both wearing dark clothing, the person on the left in a patterned top and light-colored pants, and the person on the right in a dark outfit.","The image shows two people walking, captured in an upside-down reflection on a wet surface, possibly a puddle. The scene appears to be in black and white.",1
359.jpg,"The image shows a person walking beside a railing, silhouetted against a foggy background. The person is dressed in casual attire, including a red jacket and jeans.","The person in the image is a male, dressed in a red jacket and dark pants, walking along a foggy seafront promenade. He appears to be alone and deep in thought.",1
871.jpg,"The person in the image is wearing a dark jacket, light-colored pants, and brown shoes, and is walking through a foggy environment with a white mask covering their face.","The image shows a person walking on a road, shrouded in dense fog. The person is wearing a face mask and a dark jacket.",1
89.jpg,"The image shows only one person, who is hanging upside down, wearing plaid pants and mismatched socks. The person's face is partially visible, appearing to have a light complexion.","The image shows a person hanging upside down, with their head and part of their torso visible. They are wearing plaid pants and mismatched socks.",1
146.jpg,"The image shows an individual wearing glasses and a blue surgical mask, clad in a red jacket and a black cap, standing against a blurred city background.","In the foreground, there is a man wearing glasses, a black cap, a red jacket, and a blue surgical mask. In the blurred background, there appears to be another individual wearing a red jacket but their features are not distinctly visible.",1
person_235.jpg,"The image shows an elderly couple walking away from the camera down a city sidewalk, lined with shops and the street bustling with people and activity. The woman uses a walking cane, and they both wear winter coats and hats.","The image shows two elderly individuals, one woman and one man, walking down a city street. The woman has gray hair and is wearing a gray cardigan and green trousers, while the man wears a dark jacket, hat, and black trousers.",1
crop001097.jpg,"The image shows three people: one man in a striped shirt walking in the background, and two women nearer the foreground, one wearing a white top and skirt and holding a phone, and the other dressed in black pants and a light-colored blouse, carrying a shoulder bag and also holding a phone. They are in a bustling street scene with other passersby and a store named ""PAUL"" in the background.","The image shows a busy outdoor street scene with various people walking, some carrying shopping bags and others checking mobile phones, in a sunny setting.",1
person_and_bike_208.jpg,"A person is standing on a snow-covered street next to a bicycle, browsing through postcards displayed at an outdoor stand. The environment suggests it's chilly, as indicated by the person's winter attire and the snow on the ground.","The person in the image is a man standing in a snow-covered street beside a blue bicycle, examining something within a beige bag. He is dressed in a black jacket, blue jeans, and a purple beanie, and there are cards and books displayed on racks beside him.",1
812.jpg,"The image shows five individuals in a foggy setting: one person in the foreground dressed in a dark jacket and colorful scarf, and four others in the background whose details are less visible due to the distance and mist.","The image shows a group of people standing in a foggy or misty environment, with one person in the foreground looking towards the camera. The atmosphere appears somewhat obscured and mysterious due to the fog or mist.",1
crop001567.jpg,"The image shows a person standing alone, using a mobile phone, in a park-like setting with classical columns and trees in the background. The individual is dressed in a dark jacket and pants.","The person in the image is a child wearing a dark jacket and dark pants, standing near a column and holding what appears to be a phone to their ear.",2
676.jpg,"The image shows a group of seven individuals standing in a foggy environment, with most of them facing away from the camera, appearing to be in casual attire and engaged in conversation or looking around. Due to the fog, the details of their features and expressions are obscured.","The image shows a group of people standing in a foggy area, with a focus on a person seen from the back standing slightly elevated on a curb. Visibility is reduced due to the heavy fog surrounding the figures.",2
850.jpg,"The two people in the image are wearing bright yellow high-visibility jackets and black pants, suggesting they are police officers standing on duty in a foggy setting.","The image shows two police officers standing in a foggy environment, both wearing high-visibility jackets. They appear to be guarding or monitoring an area, indicated by a barrier in the foreground.",2
470.jpg,"Three individuals are seen in a foggy environment; one man on the left dressed in a light-blue shirt under a vest, looking up, another man in the middle background walking towards the viewer, and a third man on the right walking away in dark, casual clothes.","The image shows a group of people walking in a dense fog, with three visible individuals each at different distances, suggesting a spacious outdoor setting.",2
536.jpg,"The image shows two people outdoors, one standing with their back to the camera and the other walking and carrying a bag, in a foggy or smoky environment. There is low visibility due to the atmospheric conditions.","The image shows two individuals: one is standing on the right side of the frame facing away, dressed in a dark outfit, and the other is walking on the left side, carrying a bag and wearing a cap and coat. The background is misty, giving the scene a foggy look.",2
111.jpg,"The image shows three people walking through a thick fog, with one figure slightly in the distance, making the scene appear mysterious and slightly obscured.","The image shows three individuals in a foggy environment: one is positioned in the foreground with a relaxed pose and is carrying a bag, while another is slightly farther back, appearing to check their surroundings. The third figure is even more distant and less distinct, adding to the misty, mysterious atmosphere of the scene.",2
765.jpg,"The image shows a person in a high-visibility vest running through a very foggy area, surrounded by orange traffic cones. The fog is dense, making the background nearly invisible.","The person in the image appears to be directing traffic or guiding pedestrians, wearing a reflective vest and standing in a foggy environment.",2
crop001211.jpg,"The person in the center of the image is wearing a grey sweatshirt and beige pants, standing in a grassy field with an attentive expression while looking towards someone outside the frame.","A group of people are engaged in an outdoor activity in a grassy area, with one woman facing toward a man who is looking up, likely involved in a game or sport.",2
crop001523.jpg,"The person in the image is walking down a city street, wearing a brown jacket and carrying a bag.","This image captures an urban park scene with pedestrians walking along a pathway, surrounded by trees and green railings, with vehicles and buildings in the background.",2
783.jpg,"The image shows a man and a woman walking under a green umbrella with a geometrically-patterned building in a foggy background. The woman is wearing a pink top, and the man is dressed in a grey jacket.","The image shows a man and a woman sharing a green umbrella, walking in a rainy setting outside a modern architectural structure. The man is dressed in a formal gray jacket and dark trousers, while the woman is wearing a bright pink sweater and black pants.",2
crop001601.jpg,"The image shows a woman standing by a city street; she is wearing a blue jacket, jeans, and sneakers, and holding what looks like a snack. In the background, there are cars, trees, and a red Coca-Cola advertisement.","The person in the image is a woman wearing a light blue jacket, blue jeans, and white sneakers, standing on a city sidewalk with a small yellow bag over her shoulder.",2
1124.jpg,"The image shows a group of people participating in what appears to be an exercise or dance routine outdoors, with all individuals wearing masks. The setting is foggy, which adds a muted backdrop to the scene of communal activity.","The nine people in the image appear to be engaged in an outdoor group exercise or dance activity, dressed in casual attire suitable for physical activity, with some wearing masks and spreading out across what looks like an open, possibly urban space.",2
138.jpg,"The image shows a person wearing a mask and helmet sitting on a bicycle in a foggy environment, with bags hanging from the handlebar and a large box strapped behind the seat.","The person in the image is riding a bicycle, wearing a jacket, and a helmet, and has a face mask on, presumably to protect against air pollution. They also carry an orange shopping bag hanging on the handlebar.",2
crop001622.jpg,"The image shows two people walking through a grassy urban park with trees, with a large truck and city buildings visible in the background. They appear to be casually dressed, one wearing a jacket and the other a white top.","The two people in the image are walking outdoors, with one person dressed in dark clothing and the other wearing a light-colored jacket. They are strolling across a grassy area near a road with a large truck in the background.",2
41.jpg,"The image shows two men walking side by side in a foggy environment, both wearing black outfits, with one appearing to wear a cap.","The two people in the image appear to be walking through a foggy environment, dressed in dark clothes with matching black tops that have some white text on them, and both are wearing dark pants and caps.",2
crop001666.jpg,"The image shows two men in an urban setting: one dressed in a grey suit and hat walking away, and the other in a black jacket and trousers with a shoulder bag looking to the side.","This image shows two men walking in an urban square with trees and pigeons on the ground, conveying a casual, everyday scene.",2
crop001562.jpg,"The image shows two people standing by a lake, one seems to be wearing a pink outfit and the other is dressed in darker colors. They appear to be engaged in a conversation or looking at something together.","The image shows a group of people standing by a railing next to a body of water, surrounded by autumn-colored trees. It appears to be a peaceful outdoor setting, possibly a park or lakeside walkway.",2
911.jpg,"The image depicts a person in a vibrant orange suit performing parkour or a similar dynamic motion, leaping horizontally while gripping a handrail, in a misty or rainy environment.","The person in the image is wearing a bright orange, waterproof outfit, and appears to be battling against a strong wind and heavy rain, possibly during a storm.",2
232.jpg,"The image shows two individuals: a taller person wearing a dark jacket and trousers, and a shorter person in a bright pink jacket and pink pants, both standing outdoors in a foggy setting.","The image shows two people standing outdoors; one adult in a black coat and a child in a bright pink outfit, against a foggy background.",2
815.jpg,"The image shows eight people standing or walking in a foggy environment. Featuring a clear view of one person from the back, the others are more obscured by the mist, appearing as silhouettes; some seem to be standing together, creating an eerie or mysterious ambiance.",A person stands facing a foggy path with silhouettes of several individuals visible in the background. The atmosphere is mysterious and obscured by the heavy fog.,2
crop001232.jpg,"The person standing in the background, looking at the man kicking the ball, appears to be smiling and dressed casually in a white t-shirt and light-colored pants.","Four men are playing with a colorful ball in a grassy field, one of whom is kicking the ball while the others watch.",2
522.jpg,The image shows a person walking and looking at a smartphone in an urban setting that features a foggy atmosphere and modern architecture.,"The image shows two people: one, in the foreground, is a person walking and looking at a mobile phone, dressed in a blue jacket and jeans. The second person, seen in the background and slightly blurred, appears to be walking in the opposite direction.",2
crop001016.jpg,"The person in the image is a young man with dark hair, wearing a white T-shirt, blue jeans, and a backpack, who is smiling while walking through a narrow, rocky mountain passage.","The image shows two people hiking through a narrow, rocky passage, with the leading person smiling and looking at the camera while ascending a set of rugged steps.",2
326.jpg,"The image shows a person wearing a red jacket, walking a dog on a leash in a foggy environment. The visibility is low due to the dense fog surrounding them.","The person in the image appears to be walking a dog in a foggy environment and is dressed in a red jacket, dark pants, and a dark beanie.",2
person_and_bike_030.jpg,"The person in the foreground is a man wearing a yellow jacket and riding a bicycle on a city street. In the background, another individual, dressed in black, walks carrying a shopping bag outside of a store.",A man in a yellow jacket is riding a bicycle on a cobblestone street lined with shops and scattered autumn leaves. Another individual with a shopping bag walks in the background.,2
925.jpg,"The image shows a blurry, shadow-like silhouette of a fish, visible against a grainy, gray background. The fish appears to be swimming or floating, with its outline clearly defined.","The image shows a vague and blurry aerial or shadow-like outline of a person walking, but the details are indistinct due to the low resolution and contrast.",2
584.jpg,"The image shows a person crossing a street while looking at their smartphone, with heavy fog reducing visibility in the background.","The person in the image is crossing a street while looking at their mobile phone, wearing a gray jacket and dark pants. The scene appears foggy or smoky, which adds a moody atmosphere to the setting.",2
crop001816.jpg,"The person in the image is a man walking on a sandy beach, holding a fishing net and wearing blue swim shorts, with the ocean and a sailboat in the background.","A man wearing blue swim shorts walks along a sandy beach while holding a yellow fishing net, with the ocean and a sailboat in the background.",2
person_199.jpg,"The image shows a group of people walking and chatting on a city street in front of a building with commercial spaces. The individuals are dressed casually, and there is a sense of everyday urban life depicted.","In the image, six individuals, a mix of men and women, are walking across a city square, appearing relaxed in casual attire. Some of them are engaged in conversation, adding to the casual and social atmosphere of their group.",2
981.jpg,"The image shows a small, blurry, and indistinct silhouette of what appears to be a bird in flight, set against a plain, light-colored background. The details are minimal, making the object's exact form hard to discern.",The image shows a very blurry and indistinct silhouette of a person that provides no discernible details about their appearance or identity.,2
crop001592.jpg,"The image captures a group of pedestrians crossing a busy urban street, with cars and a blue van stopped at the crosswalk. The architecture and vehicles suggest a European city setting.","The image shows three individuals crossing a street: one is a woman with brown hair wearing a dark coat and backpack, the second is possibly a young man in a blue jacket and jeans, and the third is wearing a dark jacket and carrying a backpack. All three are walking swiftly amidst busy traffic.",2
880.jpg,"The image shows two people walking upside down, or rather, the image has been flipped vertically. They are outdoors, possibly on a street, and one person is holding a shopping bag.","The image shows two individuals hanging upside down. They appear to be dressed casually; one person is in blue jeans and sneakers, and the other in darker pants and dressier shoes.",2
449.jpg,"The image shows a group of people walking in a foggy environment, with one person visibly wearing an orange coat and carrying a shopping bag.","The image shows a group of five people walking in a foggy environment; one person prominently in an orange coat appears to be talking on the phone, while others are dressed in darker winter clothing. Some of the individuals are carrying shopping bags, suggesting they might be out running errands or shopping.",2
crop001150.jpg,"The person appears to be walking in a city environment, wearing a dark-colored outfit with a jacket and carrying bags, suggesting they might be either shopping or commuting.","This image shows a busy urban street scene with pedestrians and cars, including a noticeable Peugeot car in the foreground. The background highlights a lit-up building entrance, possibly a theater, with various people walking nearby.",2
crop001506.jpg,"The person is dressed in a denim jacket and jeans, and appears to be standing in a bustling fairground or outdoor market area, engaging in conversation or interaction with others nearby.","The image captures a lively night scene at a fair, featuring people of various ages walking and interacting near food trucks and bright lights.",2
person_321.jpg,The two individuals in the image are walking down a gravel path with buildings in the background; one appears to be a woman dressed in darker clothing and the other a man wearing a light blue shirt and dark pants. They seem to be engaged in a conversation while walking.,"The image shows two people walking on a gravel path in a suburban area, with modern buildings in the background and a red car parked beside the path.",2
crop001525.jpg,"The image displays a street scene with blurry pedestrians, one of whom is glancing at a newsstand, all against an urban backdrop with buildings and shops.","Three individuals are walking on a city street: one person in the foreground is dressed in a light-colored coat and carrying a bag, another is wearing a dark coat and blue jeans, and a third, further back, seems to be dressed in a brown coat. The scene is lively and appears to be in a shopping area, based on the newsstand and storefronts visible.",2
246.jpg,"The image shows a person bending over what appears to be a suitcase or box, set within a foggy or misty environment. The visibility is quite low due to the fog, lending a grayish tone to the entire scene.","The person in the image is bending over while pushing or operating a small wheeled device on a foggy outdoor surface, wearing striped attire and a hat.",2
crop001708.jpg,"In this image, an older man wearing a light-colored jacket and glasses is standing and leaning on a cane, while a younger man to his right, wearing a dark jacket and jeans, appears to be in conversation or looking at something outside of the frame.","The image shows an elderly man with a cane standing in a busy exposition hall, where attendees are observing and discussing various exhibits, likely involving cars or technology given the modern and dynamic backdrop.",2
774.jpg,"The image shows two people walking in a heavily foggy environment, one of them carrying a bag. The fog is dense, obscuring the background and creating a muted, monochrome effect.","The image shows two individuals walking in a foggy, snowy environment; one person appears to be wearing heavy winter clothing and carrying a red bag, while the other is also dressed warmly.",2
163.jpg,The image shows a person wearing a high-visibility safety vest standing beside a white car in a garage or a parking area. The image is rotated 90 degrees to the left.,"The person in the image is wearing a bright green safety vest and black pants, and appears to be standing near a white car in a garage-like environment.",2
308.jpg,"The person in the image is wearing a black coat and face mask, walking on a city street shrouded in fog or heavy smog.","The image shows a person wearing dark clothing and a face mask, walking along a road in a foggy or smoggy environment with blurred vehicles in the background.",2
person_and_bike_151.jpg,The image depicts people walking and standing on a blue pedestrian bridge in an urban area with traditional European architecture and greenery surrounding the river below.,"The image shows two individuals on a bridge: one person is walking away from the camera dressed in a black leather jacket and light-colored pants, while the other, farther ahead, is wearing a dark jacket and pushing a bicycle.",2
859.jpg,The image shows three individuals walking on a foggy road; two of them are wearing Santa hats and all are dressed in winter clothing with face masks on.,"The image shows four people walking on a foggy path, all wearing masks; two of them have Santa hats. They are dressed in winter clothing, suggesting cold weather.",2
person_and_bike_148.jpg,"The image shows a bustling city street scene with people walking and standing, including a person with a baby carriage and another with a bicycle, in front of shopfronts.","In the image, five individuals are seen engaging in everyday activity on a busy street: a long-haired person in a dark jacket, a person in a brown coat pushing a stroller, another individual standing beside them in a brown jacket, and two more people interacting by the storefront, dressed in lighter clothing.",2
840.jpg,"The image depicts four individuals walking in what appears to be foggy weather; three are facing forward with the fourth partially obscured, and they are all dressed warmly, suggesting a cold day.","The image captures four individuals, likely women, walking side by side on a foggy street. They are dressed in winter clothing, and one of them is holding her hair or headwear as they move forward.",2
291.jpg,"The image shows two people, one in a long white coat and the other in a black jacket, walking through a heavily foggy or smoggy environment. One of them is carrying a yellow bag, and they appear to be crossing a street.","The image shows three people walking in what appears to be a foggy or smoggy environment; in the foreground, a woman in a white puffy coat and a man in a black jacket are seen walking, with the man carrying a yellow shopping bag, while another indistinct figure is visible in the background amidst the haze.",2
crop001572.jpg,"The person in the foreground is a man wearing a dark jacket and black pants, walking directly towards the camera with a neutral expression.","The image captures a busy outdoor scene on a paved pathway lined with trees exhibiting autumn foliage, featuring pedestrians, cyclists, and a parked van.",2
person_348.jpg,"The image shows two couples walking along a city pathway; the first couple is ahead, with the woman holding a white bag and the man in a black jacket, while the second couple trails behind with the woman in a black coat and the man in denim. Both pairs are casually dressed and appear to be enjoying a walk in an urban environment with trees and a covered marketplace to the side.","This image shows a group of people walking along a sidewalk next to a low brick wall, with autumn trees and a view of some outdoor seating areas in the background.",2
149.jpg,"An older woman with distinctive white hair and a face mask walks in the foreground, dressed warmly and followed by a man in a blue jacket.","The woman in the foreground has distinctive white hair and is wearing a dark coat with a colorful scarf and a white protective mask. The man in the background is dressed in a blue jacket and casual pants, and appears to be walking behind her.",2
273.jpg,The image is too blurry and unclear to describe any individuals present in it accurately.,"The image is a blurry, grayscale photo showing what appears to be a car on a road, distorted perhaps by motion or camera shake. The details are unclear, contributing to an atmospheric or ghostly effect.",2
person_231.jpg,"The image shows three adults on a busy street: two women engaged in shopping at a market stand, and a man in a grey sweater holding hands with a woman in a tan jacket, both seemingly occupied in a conversation or observing something off-camera.","The image shows several people on a city street, likely engaged in shopping, with a focus on a couple holding hands in the foreground among other shoppers who are perusing goods at a sidewalk sale.",2
685.jpg,"The image shows a street scene enveloped in heavy fog with silhouettes of people and vehicles barely visible. One person walks towards the foreground, while others and vehicles are scattered in the background, contributing to a subdued, obscured atmosphere.","The image shows three individuals in a hazy, low-visibility setting possibly caused by fog or mist. One person appears to be walking, another is riding a bike, and the third is seated, all encountering the same obscured conditions.",2
person_114.jpg,"The image features two young men standing in front of a glass building entrance, one holding a cigarette, both dressed in casual jackets and jeans.","The two individuals in the image appear to be young men, one wearing glasses, a beige jacket, and jeans, and the other dressed in a cream jacket with a dark sweater, also in jeans. They are standing together in front of glass doors, possibly at an entrance or a transit station.",2
602.jpg,"The image shows a person in a blurred and upside-down pose, with very low visibility, making details indiscernible. The individual appears to be mid-action, possibly during a jump or flip.","The image shows a person suspended in mid-air, taken from a low angle against a blurred background that implies motion or speed. The details are obscured due to the foggy or misty effect applied to the photo.",2
person_342.jpg,"The image captures two men reflected in a window; one is taking a photograph, and the other is standing beside him, with a large poster of a woman’s portrait also visible in the background.","In the image, one man is seen taking a photograph with a camera, reflected in a large mirror on a building wall; he is dressed in a light-colored jacket and carries a shoulder bag, accompanied by another man standing slightly behind him who appears in darker clothing.",2
789.jpg,"The image shows four individuals in a busy urban environment: one person is riding a bicycle, and three others are walking, all dressed in winter clothing.","The image shows a man riding a bicycle on a busy city street in foggy or smoggy conditions, accompanied by other pedestrians. It appears to be a chilly day, as everyone is dressed in warm clothing.",2
283.jpg,The image is too dark and blurry to provide a clear description of the five individuals depicted. The low resolution and monochrome tone further complicate identifying any distinguishable features or attire of the people.,"The image shows a blurry, monochrome scene of a person, appearing to hang upside down from a structure in an industrial or under-construction setting. The environment is dimly lit and details are obscured.",2
565.jpg,"The image captures silhouettes of three people walking on a street obscured by heavy fog, with a dimly illuminated tree and street lights visible in the background.","The image shows four silhouetted figures walking together in a dense foggy environment, making their individual features indistinguishable. They appear to be adults, possibly grouped as couples and engaged in conversation as they walk along a paved area.",2